Date,Open,High,Low,Close,Volume
2021-11-26,930.00,937.80,881.3,885.70,3412104
2021-11-29,882.00,900.00,862.0,890.10,2598008
2021-11-30,888.60,904.80,876.5,882.95,3194347
2021-12-01,890.00,898.00,869.15,874.05,1543968
2021-12-02,877.85,889.90,867.85,887.95,878830
2021-12-03,896.80,906.00,890.5,895.15,1865863
2021-12-06,898.00,901.80,875.1,878.40,1370051
2021-12-07,883.00,904.70,880.65,896.15,1137208
2021-12-08,899.00,919.00,899.0,916.20,1661995
2021-12-09,919.95,932.00,912.0,929.95,1651425
2021-12-10,929.70,934.65,921.55,925.30,1353888
2021-12-13,931.50,937.10,917.5,920.90,901611
2021-12-14,914.25,938.90,910.0,926.25,1280644
2021-12-15,929.55,929.55,915.9,922.00,455752
2021-12-16,926.05,932.65,918.0,922.40,813792
2021-12-17,922.10,925.95,878.2,882.80,1945227
2021-12-20,873.00,873.00,848.5,862.75,1479264
2021-12-21,863.30,902.35,863.3,888.85,1687523
2021-12-22,888.85,905.95,888.85,903.75,802240
2021-12-23,908.00,909.60,897.9,904.15,878774
2021-12-24,909.05,909.05,884.25,886.35,594280
2021-12-27,878.10,889.15,871.55,884.10,762754
2021-12-28,887.80,903.00,886.9,899.65,762782
2021-12-29,896.10,902.80,887.65,891.65,495351
2021-12-30,890.00,893.50,880.1,888.60,1067763
2021-12-31,889.00,905.05,889.0,898.25,1288352
2022-01-03,892.3,910.95,892.3,900.6,701976
2022-01-04,905.1,916.0,893.4,910.35,851040
2022-01-05,918.0,918.25,895.1,899.2,1264377
2022-01-06,895.0,899.2,884.15,896.9,1042611
2022-01-07,898.9,902.8,883.55,885.5,630249
2022-01-10,885.95,899.95,884.95,896.8,667948
2022-01-11,898.5,899.6,877.0,881.4,934861
2022-01-12,886.8,916.05,881.25,914.7,1883589
2022-01-13,916.05,950.6,910.2,942.35,4088111
2022-01-14,939.8,958.0,932.1,944.2,1892243
2022-01-17,946.0,958.0,937.55,946.55,1597608
2022-01-18,947.0,956.5,913.45,917.55,1587776
2022-01-19,921.4,934.25,906.75,923.55,1132268
2022-01-20,930.0,930.85,902.2,910.45,2049119
2022-01-21,910.0,921.2,890.15,899.3,1141509
2022-01-24,896.0,899.3,846.65,855.35,1910110
2022-01-25,850.0,882.4,831.5,874.95,2057540
2022-01-27,874.8,874.8,823.3,842.1,3179684
2022-01-28,852.0,875.4,845.75,854.95,2246342
2022-01-31,865.0,881.1,856.55,866.4,1556154
2022-02-01,870.1,886.15,862.6,880.85,1326673
